variable,grupo_a,grupo_b,media_a,media_b,mediana_a,mediana_b,t,p_t,U,p_u,cohen_d,p_t_bonf,p_u_bonf,significativo
tempo,pop,rock,121.03662913763067,125.10822981651376,120.031,124.03,-7.240350421138204,4.857693819818748e-13,9105336.5,1.2959785771110083e-13,-0.1536218295638098,7.286540729728123e-12,1.9439678656665122e-12,True
tempo,r&b,rap,114.18368893572182,120.53637716262975,108.331,119.997,-10.487219397105067,1.3447756623521736e-25,10999857.5,6.553409755515736e-21,-0.20960548733593892,2.0171634935282605e-24,9.830114633273603e-20,True
tempo,r&b,rock,114.18368893572182,125.10822981651376,108.331,124.03,-18.276959885423416,2.5938332593291726e-73,7804170.0,2.2928570016500662e-91,-0.3831268415586741,3.890749888993759e-72,3.4392855024750993e-90,True
tempo,rap,rock,120.53637716262975,125.10822981651376,119.997,124.03,-7.461437143581113,9.307845027927633e-14,10285775.5,4.358696334143619e-15,-0.1516789748491022,1.3961767541891449e-12,6.538044501215429e-14,True
acousticness,edm,latin,0.07996859387541239,0.21289233066666666,0.0183,0.139,-34.27727058773135,1.1629201986691994e-238,5406417.5,0.0,-0.7349430605061081,1.744380298003799e-237,0.0,True
acousticness,edm,pop,0.07996859387541239,0.1722678594686411,0.0183,0.07405,-23.909226312066608,6.224228112787324e-122,7916987.5,2.124552198478564e-175,-0.4967637815723793,9.336342169180987e-121,3.1868282977178464e-174,True
acousticness,edm,r&b,0.07996859387541239,0.26215792113804,0.0183,0.168,-42.948790558138136,0.0,5412278.0,0.0,-0.8828428901403084,0.0,0.0,True
acousticness,edm,rap,0.07996859387541239,0.19525037286812766,0.0183,0.111,-31.414590830678804,1.3202468742824867e-205,7447332.5,0.0,-0.616262569313541,1.98037031142373e-204,0.0,True
acousticness,edm,rock,0.07996859387541239,0.14632279713302754,0.0183,0.0364,-17.375295856587183,2.5638419827178906e-66,10103929.5,2.5884807063569383e-17,-0.36886962362760406,3.845762974076836e-65,3.8827210595354076e-16,True
acousticness,latin,pop,0.21289233066666666,0.1722678594686411,0.139,0.07405,8.695031476141812,4.088499100284481e-18,11607730.0,4.390879644943964e-50,0.18459994744332636,6.132748650426721e-17,6.5863194674159466e-49,True
acousticness,latin,r&b,0.21289233066666666,0.26215792113804,0.139,0.168,-9.868738559117608,7.432554530266692e-23,9246171.0,3.92984777443997e-13,-0.20627095450744656,1.1148831795400038e-21,5.894771661659955e-12,True
acousticness,latin,rap,0.21289233066666666,0.19525037286812766,0.139,0.111,3.906678376652408,9.424414955542149e-05,11956885.5,2.6146281742276375e-10,0.08048247877868525,0.0014136622433313223,3.921942261341456e-09,True
acousticness,latin,rock,0.21289233066666666,0.14632279713302754,0.139,0.0364,14.353381686311923,3.4465943109553805e-46,12298021.5,7.504712639243279e-146,0.3089742667195444,5.169891466433071e-45,1.1257068958864919e-144,True
acousticness,pop,r&b,0.1722678594686411,0.26215792113804,0.07405,0.168,-18.055619558599325,1.2086383403395351e-71,8138693.0,2.0529102555377933e-99,-0.37290188302834876,1.8129575105093026e-70,3.07936538330669e-98,True
